epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1363.86,0.59283,2.31736,0.93712,0.3245,0.67131,0.38847,0.33141,0.42078,23.5069,0.72169,0.00041403,0.00041403,0.00041403
2,1442.88,0.59818,1.42224,0.91288,0.46145,0.66998,0.57112,0.48531,0.45515,14.5601,0.74993,0.000814248,0.000814248,0.000814248
3,1524.03,0.58193,1.12984,0.90853,0.52132,0.68706,0.62282,0.52658,0.4633,7.33687,0.74215,0.00119797,0.00119797,0.00119797
4,1607.12,0.57354,0.93332,0.90888,0.51991,0.64677,0.60332,0.4831,0.43109,6.11019,0.73276,0.00117575,0.00117575,0.00117575
5,1688.81,0.54634,0.81389,0.89556,0.73472,0.76014,0.74402,0.62954,0.42184,4.94106,0.73645,0.001151,0.001151,0.001151
6,1771.75,0.55015,0.75464,0.89946,0.7525,0.78442,0.76897,0.64023,0.40296,3.36276,0.72055,0.00112625,0.00112625,0.00112625
7,1854.79,0.52424,0.64796,0.89319,0.65618,0.68997,0.69595,0.57393,0.42724,2.85282,0.73776,0.0011015,0.0011015,0.0011015
8,1936.15,0.51909,0.61109,0.88924,0.77173,0.73701,0.80078,0.6583,0.40555,4.07902,0.7212,0.00107675,0.00107675,0.00107675
9,2016.8,0.49945,0.57261,0.88306,0.88877,0.82466,0.91211,0.74861,0.40453,1.33714,0.72118,0.001052,0.001052,0.001052
10,2095.51,0.50378,0.54684,0.88765,0.76786,0.77577,0.79298,0.69464,0.37118,0.82232,0.71002,0.00102725,0.00102725,0.00102725
11,2174.21,0.48284,0.53632,0.88059,0.8033,0.83144,0.88035,0.74123,0.38345,1.27781,0.71542,0.0010025,0.0010025,0.0010025
12,2255.37,0.47878,0.49522,0.88342,0.78903,0.84857,0.86916,0.74675,0.36955,0.69255,0.71122,0.00097775,0.00097775,0.00097775
13,2337.02,0.48517,0.49552,0.87995,0.85033,0.89068,0.90583,0.7672,0.36868,0.93324,0.70993,0.000953,0.000953,0.000953
14,2420.68,0.48079,0.48656,0.88097,0.87407,0.80323,0.90374,0.77276,0.37814,0.71135,0.71373,0.00092825,0.00092825,0.00092825
15,2501.67,0.46515,0.45826,0.8733,0.85787,0.83015,0.87785,0.76812,0.35928,1.03648,0.70478,0.0009035,0.0009035,0.0009035
16,2583.18,0.4629,0.44619,0.87136,0.87277,0.83456,0.90016,0.77389,0.3693,3.65044,0.71104,0.00087875,0.00087875,0.00087875
17,2666.03,0.46749,0.44479,0.87675,0.8139,0.87559,0.9132,0.79314,0.37771,1.81463,0.71013,0.000854,0.000854,0.000854
18,2747.24,0.45908,0.41752,0.87533,0.82064,0.86293,0.92183,0.78861,0.37266,1.04844,0.71291,0.00082925,0.00082925,0.00082925
19,2828.49,0.45596,0.41077,0.87316,0.73131,0.83088,0.82782,0.71845,0.35638,1.21127,0.71563,0.0008045,0.0008045,0.0008045
20,2910.81,0.45115,0.39871,0.87046,0.80314,0.88558,0.91986,0.80859,0.36171,1.53311,0.70693,0.00077975,0.00077975,0.00077975
21,2992.45,0.44185,0.38493,0.86928,0.84934,0.81908,0.89077,0.77982,0.36825,1.48606,0.7134,0.000755,0.000755,0.000755
22,3075.08,0.44299,0.38413,0.87122,0.8404,0.87106,0.94056,0.81334,0.35787,0.64486,0.70645,0.00073025,0.00073025,0.00073025
23,3157.21,0.44012,0.37621,0.86643,0.85527,0.8105,0.91448,0.80519,0.34791,0.83238,0.70475,0.0007055,0.0007055,0.0007055
24,3236.84,0.44305,0.36179,0.86781,0.82892,0.90215,0.90777,0.80099,0.34169,0.58797,0.69631,0.00068075,0.00068075,0.00068075
25,3317.1,0.45096,0.3692,0.86999,0.86839,0.86933,0.9118,0.80115,0.35545,0.57907,0.70836,0.000656,0.000656,0.000656
26,3399.21,0.43314,0.36072,0.86509,0.8432,0.86604,0.90488,0.79269,0.35631,1.3298,0.70581,0.00063125,0.00063125,0.00063125
27,3481.63,0.43304,0.34982,0.86604,0.83646,0.8395,0.89626,0.79322,0.34333,1.42982,0.70155,0.0006065,0.0006065,0.0006065
28,3565.17,0.42626,0.34951,0.86468,0.88134,0.88953,0.91804,0.80083,0.35677,3.04328,0.70708,0.00058175,0.00058175,0.00058175
29,3647.32,0.42611,0.34323,0.86267,0.83413,0.91686,0.94508,0.82476,0.34348,0.86544,0.70227,0.000557,0.000557,0.000557
30,3728.49,0.41707,0.33577,0.85806,0.89695,0.86115,0.92255,0.81743,0.35177,0.48691,0.7062,0.00053225,0.00053225,0.00053225
31,3811.2,0.41972,0.32567,0.86336,0.89888,0.91484,0.92352,0.81197,0.343,0.45819,0.70415,0.0005075,0.0005075,0.0005075
32,3889.7,0.41734,0.32224,0.86421,0.87691,0.81945,0.88872,0.79007,0.3427,0.5964,0.70256,0.00048275,0.00048275,0.00048275
33,3969.48,0.42167,0.3159,0.86232,0.8496,0.89598,0.92081,0.80507,0.34923,0.59492,0.70382,0.000458,0.000458,0.000458
34,4051.51,0.40756,0.30323,0.85635,0.84448,0.86447,0.90357,0.80458,0.35178,0.47215,0.70652,0.00043325,0.00043325,0.00043325
35,4130.38,0.41391,0.30697,0.86323,0.90956,0.8782,0.92597,0.81331,0.3412,2.46598,0.70523,0.0004085,0.0004085,0.0004085
36,4212.68,0.41606,0.31079,0.85888,0.89764,0.87764,0.92356,0.82075,0.35287,0.6636,0.70489,0.00038375,0.00038375,0.00038375
37,4292.81,0.40893,0.29149,0.86171,0.89567,0.9205,0.94584,0.84074,0.33929,0.44246,0.701,0.000359,0.000359,0.000359
38,4377.89,0.4023,0.29207,0.85765,0.89406,0.90092,0.94585,0.84324,0.33462,0.43105,0.70092,0.00033425,0.00033425,0.00033425
39,4456.72,0.3963,0.29297,0.86183,0.8953,0.86633,0.91956,0.81528,0.34812,0.42941,0.7081,0.0003095,0.0003095,0.0003095
40,4537.04,0.40083,0.2846,0.85899,0.88353,0.88024,0.92011,0.81988,0.33568,0.53959,0.70085,0.00028475,0.00028475,0.00028475
41,4625.77,0.36397,0.21695,0.81574,0.89309,0.87935,0.92871,0.82595,0.34011,0.6687,0.7,0.00026,0.00026,0.00026
42,4708.96,0.35789,0.21037,0.81114,0.87348,0.88538,0.92439,0.82151,0.33726,0.90394,0.70245,0.00023525,0.00023525,0.00023525
43,4793.13,0.35997,0.2046,0.81445,0.87734,0.89081,0.93353,0.83167,0.33709,1.23825,0.70152,0.0002105,0.0002105,0.0002105
44,4875.86,0.35237,0.20096,0.81299,0.89531,0.87802,0.93143,0.8284,0.33675,0.59194,0.70064,0.00018575,0.00018575,0.00018575
45,4960.74,0.34903,0.19005,0.80914,0.90756,0.8918,0.93162,0.83148,0.34128,0.70517,0.70252,0.000161,0.000161,0.000161
46,5042.19,0.3444,0.19065,0.80611,0.90974,0.88503,0.94464,0.84363,0.33256,0.65403,0.70029,0.00013625,0.00013625,0.00013625
47,5124.78,0.34119,0.18661,0.80835,0.9175,0.87849,0.94248,0.84399,0.33438,1.51904,0.69972,0.0001115,0.0001115,0.0001115
48,5210.57,0.33703,0.18229,0.80927,0.9268,0.88823,0.94167,0.84621,0.32627,1.27696,0.69772,8.675e-05,8.675e-05,8.675e-05
49,5294.57,0.33463,0.17556,0.80842,0.92742,0.90628,0.94232,0.84624,0.32463,0.80889,0.69716,6.2e-05,6.2e-05,6.2e-05
50,5377.34,0.33097,0.17597,0.80779,0.92864,0.89448,0.94366,0.84953,0.32512,0.90292,0.69778,3.725e-05,3.725e-05,3.725e-05
