epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,476.159,0.35375,0.89044,0.85734,0.65243,0.85916,0.81138,0.78678,0.18724,0.47452,0.5274,0.000742625,0.000742625,0.000742625
43,486.967,0.3444,0.84806,0.86616,0.64386,0.87189,0.82605,0.80623,0.18795,0.50723,0.52481,0.00073025,0.00073025,0.00073025
44,497.41,0.35029,0.82855,0.86586,0.59095,0.96786,0.84354,0.81841,0.18507,0.4802,0.52485,0.000717875,0.000717875,0.000717875
45,507.723,0.34501,0.79053,0.86471,0.57849,0.89775,0.83467,0.8119,0.18363,0.64419,0.52477,0.0007055,0.0007055,0.0007055
46,518.634,0.33472,0.78711,0.85651,0.76167,0.82753,0.87415,0.85031,0.17513,0.43366,0.52942,0.000693125,0.000693125,0.000693125
47,529.5,0.35553,0.78535,0.86852,0.72139,0.89971,0.88927,0.86329,0.18022,0.4506,0.52899,0.00068075,0.00068075,0.00068075
48,540.311,0.34568,0.77711,0.86956,0.88339,0.83562,0.89226,0.87542,0.17399,0.39743,0.52719,0.000668375,0.000668375,0.000668375
49,550.943,0.34444,0.79679,0.86721,0.76444,0.87151,0.89411,0.86369,0.18528,0.41128,0.52931,0.000656,0.000656,0.000656
50,561.23,0.34736,0.75116,0.86439,0.82214,0.77952,0.8288,0.80873,0.1761,0.54706,0.53104,0.000643625,0.000643625,0.000643625
51,572.132,0.32759,0.70603,0.85032,0.87961,0.84537,0.89509,0.87184,0.16799,0.35971,0.52564,0.00063125,0.00063125,0.00063125
52,583.065,0.32943,0.69466,0.86329,0.69181,0.81044,0.85641,0.83816,0.17454,0.50906,0.52665,0.000618875,0.000618875,0.000618875
53,593.88,0.3226,0.70499,0.84858,0.90013,0.9017,0.95004,0.93325,0.16998,0.30049,0.52432,0.0006065,0.0006065,0.0006065
54,604.601,0.33171,0.69664,0.85683,0.79737,0.81538,0.918,0.90243,0.17176,0.44331,0.52522,0.000594125,0.000594125,0.000594125
55,614.557,0.32517,0.66973,0.85374,0.73343,0.95597,0.90045,0.87463,0.17302,0.56541,0.52681,0.00058175,0.00058175,0.00058175
56,625.384,0.3302,0.65082,0.86007,0.8242,0.93024,0.92605,0.90639,0.17544,0.31031,0.52488,0.000569375,0.000569375,0.000569375
57,636.304,0.32967,0.67421,0.85825,0.81932,0.96543,0.96517,0.95292,0.16483,0.38915,0.52185,0.000557,0.000557,0.000557
58,647.582,0.32142,0.64064,0.85563,0.94729,0.92241,0.97085,0.95339,0.1684,0.24709,0.52525,0.000544625,0.000544625,0.000544625
59,659.232,0.31448,0.6344,0.84639,0.94406,0.93159,0.97117,0.95625,0.17321,0.24632,0.52343,0.00053225,0.00053225,0.00053225
60,670.482,0.34231,0.63691,0.86288,0.88817,0.95434,0.97379,0.95268,0.16731,0.24702,0.52128,0.000519875,0.000519875,0.000519875
61,680.601,0.30586,0.56805,0.84009,0.76193,0.9618,0.95274,0.93755,0.16365,0.36095,0.52326,0.0005075,0.0005075,0.0005075
62,691.391,0.31884,0.5852,0.85645,0.97258,0.96238,0.99024,0.97383,0.16495,0.19137,0.52355,0.000495125,0.000495125,0.000495125
63,702.288,0.31059,0.56785,0.85108,0.90072,0.88389,0.96701,0.94508,0.16925,0.25604,0.52497,0.00048275,0.00048275,0.00048275
64,714.021,0.30533,0.59651,0.84156,0.94927,0.95783,0.98527,0.96677,0.16851,0.2135,0.52483,0.000470375,0.000470375,0.000470375
65,724.929,0.30858,0.58354,0.85394,0.92642,0.96604,0.98387,0.97135,0.15935,0.19458,0.52204,0.000458,0.000458,0.000458
66,735.045,0.29963,0.52918,0.84185,0.92801,0.96225,0.98069,0.96304,0.16774,0.21892,0.5233,0.000445625,0.000445625,0.000445625
67,745.604,0.31258,0.54089,0.84617,0.92895,0.93141,0.98793,0.96772,0.16359,0.21875,0.52533,0.00043325,0.00043325,0.00043325
68,756.541,0.30755,0.50586,0.85299,0.98496,0.96811,0.98911,0.9807,0.15857,0.17572,0.52352,0.000420875,0.000420875,0.000420875
69,767.595,0.29706,0.5174,0.83769,0.93459,0.97727,0.9884,0.97346,0.16029,0.17798,0.52072,0.0004085,0.0004085,0.0004085
70,778.43,0.31988,0.53477,0.84132,0.98922,0.96645,0.99132,0.97009,0.16857,0.69009,0.52212,0.000396125,0.000396125,0.000396125
71,789.272,0.30194,0.50426,0.84651,0.97322,0.97727,0.99029,0.97702,0.16427,0.19436,0.52328,0.00038375,0.00038375,0.00038375
72,799.756,0.29835,0.52386,0.84724,0.91958,0.9476,0.9844,0.97014,0.15919,0.26789,0.52242,0.000371375,0.000371375,0.000371375
73,810.771,0.29947,0.51135,0.84396,0.97101,0.94049,0.97834,0.96734,0.15782,0.23705,0.52032,0.000359,0.000359,0.000359
74,821.744,0.28658,0.47737,0.83575,0.92857,0.98022,0.9864,0.97626,0.15502,0.25659,0.5192,0.000346625,0.000346625,0.000346625
75,832.775,0.2832,0.46149,0.83994,0.97174,0.95487,0.98772,0.97523,0.15468,0.21274,0.5204,0.00033425,0.00033425,0.00033425
