epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,464.759,0.52609,1.05381,0.92673,0.48131,1,0.60255,0.55647,0.27142,0.63731,0.54113,0.000742625,0.000742625,0.000742625
43,475.248,0.52812,1.06728,0.93322,0.48743,0.95663,0.58029,0.55404,0.2212,0.67429,0.52893,0.00073025,0.00073025,0.00073025
44,485.921,0.52499,1.04653,0.93395,0.49302,0.98485,0.61913,0.60082,0.18747,0.70486,0.5216,0.000717875,0.000717875,0.000717875
45,496.643,0.52288,1.03312,0.9271,0.51073,0.9336,0.60905,0.57747,0.23012,0.6125,0.53518,0.0007055,0.0007055,0.0007055
46,506.38,0.50522,1.03667,0.91501,0.51663,0.89803,0.64792,0.62412,0.19539,0.81254,0.52365,0.000693125,0.000693125,0.000693125
47,517.277,0.5457,1.02239,0.94444,0.41126,0.87674,0.65772,0.62994,0.19524,0.62079,0.52341,0.00068075,0.00068075,0.00068075
48,528.112,0.51932,1.05219,0.93268,0.48413,0.92182,0.66593,0.63827,0.20224,0.60258,0.52549,0.000668375,0.000668375,0.000668375
49,539.112,0.50727,1.05395,0.92114,0.54889,0.75071,0.65559,0.62814,0.19427,0.6162,0.52352,0.000656,0.000656,0.000656
50,548.716,0.51699,1.03862,0.92048,0.45354,0.93079,0.65328,0.61935,0.18883,0.89864,0.52144,0.000643625,0.000643625,0.000643625
51,559.397,0.49805,1.01941,0.91688,0.5156,0.93623,0.6376,0.61688,0.17694,0.9395,0.52154,0.00063125,0.00063125,0.00063125
52,570.061,0.48439,0.98928,0.91359,0.54382,0.89783,0.6649,0.63893,0.19105,0.61248,0.52487,0.000618875,0.000618875,0.000618875
53,580.5,0.49664,1.00475,0.91879,0.54722,0.80781,0.63403,0.60367,0.19334,0.61276,0.52519,0.0006065,0.0006065,0.0006065
54,590.429,0.51501,1.02763,0.92449,0.55103,0.91644,0.66586,0.63922,0.18993,0.61451,0.52075,0.000594125,0.000594125,0.000594125
55,601.165,0.51445,1.01163,0.92941,0.57147,0.88862,0.70095,0.67355,0.1965,0.62722,0.52208,0.00058175,0.00058175,0.00058175
56,611.972,0.50385,1.01621,0.91669,0.63069,0.67663,0.6755,0.65363,0.17524,0.56933,0.51945,0.000569375,0.000569375,0.000569375
57,622.101,0.49416,0.983,0.92061,0.59618,0.81228,0.68395,0.66674,0.1843,0.55121,0.51989,0.000557,0.000557,0.000557
58,632.237,0.47491,0.97406,0.91106,0.58705,0.83801,0.6913,0.66676,0.17757,0.56745,0.51892,0.000544625,0.000544625,0.000544625
59,643.094,0.48281,0.96502,0.92112,0.53514,0.91147,0.67946,0.66452,0.17323,0.53434,0.52055,0.00053225,0.00053225,0.00053225
60,653.754,0.50289,1.00055,0.92184,0.58719,0.93861,0.71506,0.69779,0.17314,0.53516,0.51941,0.000519875,0.000519875,0.000519875
61,663.681,0.48492,0.97698,0.90987,0.52024,0.92218,0.67969,0.66276,0.17534,0.5595,0.51868,0.0005075,0.0005075,0.0005075
62,674.286,0.46656,0.9729,0.90703,0.52768,0.94144,0.71345,0.68963,0.18754,0.55113,0.52007,0.000495125,0.000495125,0.000495125
63,684.979,0.4742,0.96767,0.91313,0.66315,0.78113,0.75154,0.73039,0.17407,0.51602,0.51868,0.00048275,0.00048275,0.00048275
64,696.709,0.44932,0.95005,0.90534,0.56883,0.89778,0.71273,0.68966,0.17825,0.54813,0.51866,0.000470375,0.000470375,0.000470375
65,706.442,0.46338,0.98097,0.90825,0.56703,0.89383,0.71101,0.69401,0.17825,0.53865,0.51858,0.000458,0.000458,0.000458
66,716.999,0.45151,0.94022,0.89738,0.6006,0.87404,0.73071,0.71164,0.16531,0.54245,0.51582,0.000445625,0.000445625,0.000445625
67,727.709,0.4649,0.91592,0.90166,0.56488,0.7921,0.7184,0.70453,0.17173,0.56443,0.51714,0.00043325,0.00043325,0.00043325
68,738.596,0.45155,0.90927,0.91018,0.59216,0.82165,0.71247,0.69087,0.18251,0.56606,0.5203,0.000420875,0.000420875,0.000420875
69,748.348,0.44754,0.92543,0.90085,0.63334,0.84168,0.72424,0.70638,0.17815,0.50856,0.51994,0.0004085,0.0004085,0.0004085
70,758.946,0.45565,0.91709,0.90801,0.64115,0.84305,0.76517,0.74378,0.17488,0.50687,0.51912,0.000396125,0.000396125,0.000396125
71,769.669,0.44991,0.8952,0.90207,0.6568,0.76469,0.74366,0.72517,0.18651,0.57381,0.51974,0.00038375,0.00038375,0.00038375
72,780.479,0.45449,0.88753,0.8936,0.65717,0.82679,0.7991,0.77831,0.17814,0.54853,0.51857,0.000371375,0.000371375,0.000371375
73,790.392,0.43333,0.85415,0.88816,0.80008,0.77301,0.81798,0.79548,0.16805,0.66186,0.51743,0.000359,0.000359,0.000359
74,801.212,0.42913,0.84164,0.88594,0.62105,0.92622,0.81777,0.80075,0.16993,0.49456,0.51528,0.000346625,0.000346625,0.000346625
75,812.066,0.43238,0.84555,0.88427,0.67477,0.89053,0.8204,0.80665,0.16851,0.42681,0.517,0.00033425,0.00033425,0.00033425
76,822.685,0.45279,0.84865,0.90237,0.72466,0.87659,0.86114,0.84065,0.17797,0.40225,0.51799,0.000321875,0.000321875,0.000321875
77,832.37,0.42152,0.80164,0.8841,0.74002,0.86052,0.86706,0.84351,0.17206,0.42139,0.51626,0.0003095,0.0003095,0.0003095
78,843.302,0.42084,0.79965,0.88747,0.79965,0.87833,0.87693,0.86184,0.16452,0.39828,0.51513,0.000297125,0.000297125,0.000297125
79,854.17,0.42673,0.79252,0.89559,0.64252,0.92329,0.83552,0.81418,0.16714,0.53995,0.51664,0.00028475,0.00028475,0.00028475
80,864.409,0.42619,0.80776,0.89583,0.75336,0.89748,0.85253,0.82877,0.17715,0.50927,0.51786,0.000272375,0.000272375,0.000272375
81,874.503,0.42753,0.77632,0.88573,0.7258,0.91047,0.87478,0.85479,0.17345,0.42159,0.51642,0.00026,0.00026,0.00026
82,885.328,0.43025,0.77666,0.88245,0.79914,0.86198,0.89185,0.87672,0.16675,0.39837,0.51514,0.000247625,0.000247625,0.000247625
83,896.104,0.4021,0.75312,0.88284,0.81582,0.86134,0.90213,0.88532,0.16321,0.36135,0.51568,0.00023525,0.00023525,0.00023525
84,906.274,0.41225,0.74645,0.88132,0.78902,0.92491,0.904,0.88513,0.16256,0.36991,0.51542,0.000222875,0.000222875,0.000222875
85,916.466,0.40874,0.71519,0.89198,0.74865,0.92803,0.90735,0.88932,0.16665,0.40321,0.51586,0.0002105,0.0002105,0.0002105
86,927.316,0.4212,0.71495,0.89219,0.73572,0.94513,0.9112,0.89405,0.16952,0.37866,0.51542,0.000198125,0.000198125,0.000198125
87,938.167,0.40007,0.68768,0.88486,0.84206,0.87651,0.92269,0.90627,0.16567,0.31111,0.51471,0.00018575,0.00018575,0.00018575
88,948.135,0.38666,0.67993,0.8763,0.80504,0.9254,0.92186,0.90469,0.16105,0.31458,0.5151,0.000173375,0.000173375,0.000173375
89,958.685,0.38797,0.65875,0.88025,0.73432,0.96622,0.91317,0.89508,0.15905,0.37055,0.51483,0.000161,0.000161,0.000161
90,969.596,0.3885,0.66693,0.87761,0.79679,0.94759,0.90188,0.8869,0.15892,0.31172,0.51411,0.000148625,0.000148625,0.000148625
91,982.286,0.31389,0.46486,0.80842,0.78852,0.92918,0.90942,0.8927,0.15952,0.35034,0.5133,0.00013625,0.00013625,0.00013625
92,992.644,0.30922,0.46687,0.81869,0.82969,0.89179,0.92228,0.90901,0.16054,0.29515,0.51303,0.000123875,0.000123875,0.000123875
93,1002.77,0.31151,0.40318,0.81798,0.85427,0.87728,0.91922,0.90445,0.16237,0.27077,0.51286,0.0001115,0.0001115,0.0001115
94,1013.39,0.30832,0.41367,0.83308,0.76601,0.95303,0.92961,0.91653,0.1588,0.29564,0.51181,9.9125e-05,9.9125e-05,9.9125e-05
95,1023.95,0.31178,0.39445,0.82043,0.82615,0.94891,0.94648,0.92638,0.15923,0.23448,0.51306,8.675e-05,8.675e-05,8.675e-05
96,1033.75,0.30523,0.40244,0.81556,0.80812,0.93215,0.93555,0.919,0.16091,0.25419,0.51263,7.4375e-05,7.4375e-05,7.4375e-05
97,1044.37,0.29902,0.37543,0.80221,0.81351,0.9358,0.94257,0.92535,0.15624,0.23926,0.51271,6.2e-05,6.2e-05,6.2e-05
98,1055.07,0.29285,0.36682,0.81593,0.82158,0.96891,0.94108,0.92737,0.1536,0.23167,0.51212,4.9625e-05,4.9625e-05,4.9625e-05
99,1065.81,0.29318,0.35195,0.81845,0.79379,0.95547,0.93252,0.91997,0.1527,0.24332,0.51147,3.725e-05,3.725e-05,3.725e-05
100,1075.38,0.28623,0.32535,0.81295,0.77378,0.96583,0.9311,0.91659,0.15286,0.24779,0.5116,2.4875e-05,2.4875e-05,2.4875e-05
